"ID","BodyWgt","BrainWgt","NonD","Dream","Sleep","Span"
1,6654,5712,NULL,NULL,3.3,38.6
2,1,6.6,6.3,2,8.3,4.5
3,3.385,44.5,NULL,NULL,12.5,14
4,0.92,5.7,NULL,NULL,16.5,NULL
5,2547,4603,2.1,1.8,3.9,69
6,10.55,179.5,9.1,0.7,9.8,27
7,0.023,0.3,15.8,3.9,19.7,19
8,160,169,5.2,1,6.2,30.4
9,3.3,25.6,10.9,3.6,14.5,28
10,52.16,440,8.3,1.4,9.7,50
11,0.425,6.4,11,1.5,12.5,7
12,465,423,3.2,0.7,3.9,30
13,0.55,2.4,7.6,2.7,10.3,NULL
14,187.1,419,NULL,NULL,3.1,40
15,0.075,1.2,6.3,2.1,8.4,3.5
16,3,25,8.6,0,8.6,50
17,0.785,3.5,6.6,4.1,10.7,6
18,0.2,5,9.5,1.2,10.7,10.4
19,1.41,17.5,4.8,1.3,6.1,34
20,60,81,12,6.1,18.1,7
21,529,680,NULL,0.3,NULL,28
22,27.66,115,3.3,0.5,3.8,20
23,0.12,1,11,3.4,14.4,3.9
24,207,406,NULL,NULL,12,39.3
25,85,325,4.7,1.5,6.2,41
26,36.33,119.5,NULL,NULL,13,16.2
27,0.101,4,10.4,3.4,13.8,9
28,1.04,5.5,7.4,0.8,8.2,7.6
29,521,655,2.1,0.8,2.9,46
30,100,157,NULL,NULL,10.8,22.4
31,35,56,NULL,NULL,NULL,16.3
32,0.005,0.14,7.7,1.4,9.1,2.6
33,0.01,0.25,17.9,2,19.9,24
34,62,1320,6.1,1.9,8,100
35,0.122,3,8.2,2.4,10.6,NULL
36,1.35,8.1,8.4,2.8,11.2,NULL
37,0.023,0.4,11.9,1.3,13.2,3.2
38,0.048,0.33,10.8,2,12.8,2
39,1.7,6.3,13.8,5.6,19.4,5
40,3.5,10.8,14.3,3.1,17.4,6.5
41,250,490,NULL,1,NULL,23.6
42,0.48,15.5,15.2,1.8,17,12
43,10,115,10,0.9,10.9,20.2
44,1.62,11.4,11.9,1.8,13.7,13
45,192,180,6.5,1.9,8.4,27
46,2.5,12.1,7.5,0.9,8.4,18
47,4.288,39.2,NULL,NULL,12.5,13.7
48,0.28,1.9,10.6,2.6,13.2,4.7
49,4.235,50.4,7.4,2.4,9.8,9.8
50,6.8,179,8.4,1.2,9.6,29
51,0.75,12.3,5.7,0.9,6.6,7
52,3.6,21,4.9,0.5,5.4,6
53,14.83,98.2,NULL,NULL,2.6,17
54,55.5,175,3.2,0.6,3.8,20
55,1.4,12.5,NULL,NULL,11,12.7
56,0.06,1,8.1,2.2,10.3,3.5
57,0.9,2.6,11,2.3,13.3,4.5
58,2,12.3,4.9,0.5,5.4,7.5
59,0.104,2.5,13.2,2.6,15.8,2.3
60,4.19,58,9.7,0.6,10.3,24
61,3.5,3.9,12.8,6.6,19.4,3
62,4.05,17,NULL,NULL,NULL,13
63,4.05,17,NULL,NULL,NULL,13
